"","LOCATION","Value","gov_right1","nld","sstran","effpar_ele","debt_hist","internetTValue","internetTLOCATION","internetTTIME","workhourTValue","workhourTLOCATION","workhourTTIME","adulteducationTValue","adulteducationTLOCATION","adulteducationTTIME","teachinghoursTValue","teachinghoursTLOCATION","teachinghoursTTIME"
"561","DNK2009",10.8,100,207,16.58,5.402485143,49.5,82.534,"DNK",2009,1417,"DNK",2009,32.449905,"DNK",2009,648,"DNK",2009
"562","DNK2010",9.8,100,329,17.14,5.402485143,53.81,86.0984,"DNK",2010,1422,"DNK",2010,33.262753,"DNK",2010,650,"DNK",2010
"563","DNK2011",10.2,81.77,280,17.25,5.720791071,60.55,90.0828,"DNK",2011,1437,"DNK",2011,33.702026,"DNK",2011,650,"DNK",2011
"564","DNK2012",11.3,26.09,225,17.31,5.720791071,61.01,91.9976,"DNK",2012,1423,"DNK",2012,34.782349,"DNK",2012,659,"DNK",2012
"565","DNK2013",10.3,26.56,197,17.41,5.720791071,57.47,92.7135,"DNK",2013,1426,"DNK",2013,35.42934,"DNK",2013,662,"DNK",2013
"566","DNK2014",10.6,32.64,318,17.28,5.720791071,60.03,93.1202,"DNK",2014,1414,"DNK",2014,35.800922,"DNK",2014,663,"DNK",2014
"567","ESP1960",7.2,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"568","ESP1961",6.8,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"569","ESP1962",6.3,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"570","ESP1963",6.3,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"571","ESP1964",6.4,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"572","ESP1965",6.1,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"573","ESP1966",6,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"574","ESP1967",5.8,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"575","ESP1968",5.6,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"576","ESP1969",5.7,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"577","ESP1971",5.6,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"578","ESP1972",5.7,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"579","ESP1973",5.4,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"580","ESP1974",5.1,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"581","ESP1975",4.8,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"582","ESP1976",5.1,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"583","ESP1977",5,0,1194,11.69,4.321016995,13.98,0,"0",0,2036,"ESP",1977,0,"0",0,0,"0",0
"584","ESP1978",4.9,0,1128,13.24,4.321016995,13.78,0,"0",0,2005,"ESP",1978,0,"0",0,0,"0",0
"585","ESP1979",5,0,2680,14.48,4.299521893,15.8,0,"0",0,1954,"ESP",1979,0,"0",0,0,"0",0
"586","ESP1980",5.2,0,2103,14.16,4.299521893,26.56,0,"0",0,1936,"ESP",1980,0,"0",0,0,"0",0
"587","ESP1981",5.3,0,1993,15.64,4.299521893,28.94,0,"0",0,1902,"ESP",1981,5.5986242,"ESP",1981,0,"0",0
"588","ESP1982",5.7,0,1810,15.53,3.194929009,33.09,0,"0",0,1880,"ESP",1982,0,"0",0,0,"0",0
"589","ESP1983",6.6,0,1451,16.13,3.194929009,38.48,0,"0",0,1848,"ESP",1983,0,"0",0,0,"0",0
"590","ESP1984",7.4,0,1498,15.96,3.194929009,44.5,0,"0",0,1803,"ESP",1984,0,"0",0,0,"0",0
"591","ESP1985",7.4,0,1092,15.96,3.194929009,48.23,0,"0",0,1793,"ESP",1985,0,"0",0,0,"0",0
"592","ESP1986",7.9,0,914,15.56,3.611685971,49.02,0,"0",0,1785,"ESP",1986,0,"0",0,0,"0",0
"593","ESP1987",7.9,0,1497,15.31,3.611685971,47.5,0,"0",0,1777,"ESP",1987,0,"0",0,0,"0",0
"594","ESP1988",8.2,0,1193,15.28,3.611685971,44.16,0,"0",0,1773,"ESP",1988,0,"0",0,0,"0",0
"595","ESP1989",8.2,0,1047,15.44,4.159699171,44.64,0,"0",0,1761,"ESP",1989,9.2956858,"ESP",1989,0,"0",0
"596","ESP1990",8,0,1312,15.87,4.159699171,46.47,0,"0",0,1763,"ESP",1990,0,"0",0,0,"0",0
"597","ESP1991",7.8,0,1645,16.76,4.159699171,48.3,0,"0",0,1772,"ESP",1991,9.8881588,"ESP",1991,0,"0",0
"598","ESP1992",7.4,0,1360,17.51,4.159699171,50.76,0,"0",0,1764,"ESP",1992,13.066113,"ESP",1992,0,"0",0
"599","ESP1993",8,0,1209,18.42,3.530263181,63.88,0,"0",0,1756,"ESP",1993,0,"0",0,0,"0",0
"600","ESP1994",8.2,0,908,17.94,3.530263181,62.68,0,"0",0,1755,"ESP",1994,15.000957,"ESP",1994,0,"0",0
"601","ESP1995",8,0,883,13.23,3.530263181,67.53,0,"0",0,1755,"ESP",1995,16.106016,"ESP",1995,0,"0",0
"602","ESP1996",8.4,0,830,13.09,3.278032918,73.86,0,"0",0,1750,"ESP",1996,0,"0",0,0,"0",0
"603","ESP1997",8.4,0,744,12.72,3.278032918,73.05,0,"0",0,1750,"ESP",1997,19.111237,"ESP",1997,0,"0",0
"604","ESP1998",8,0,632,12.22,3.278032918,73.47,0,"0",0,1754,"ESP",1998,20.159647,"ESP",1998,0,"0",0
"605","ESP1999",7.8,0,749,11.91,3.278032918,67.95,0,"0",0,1754,"ESP",1999,21.257387,"ESP",1999,0,"0",0
"606","ESP2000",8.1,0,750,11.72,3.127169474,65.17,0,"0",0,1753,"ESP",2000,22.704889,"ESP",2000,880,"ESP",2000
"607","ESP2001",7.4,0,737,11.48,3.127169474,60.57,0,"0",0,1763,"ESP",2001,23.751223,"ESP",2001,0,"0",0
