Area,Consumption Segment,Country,"Sector, Category or Product",name,Value
National,All,Bangladesh,"Coffee, Tea and Cocoa",US$,146.7572313
National,All,Bangladesh,"Coffee, Tea and Cocoa",$PPP,309.5827725
National,All,Bangladesh,"Coffee, Tea and Cocoa",Local Currency,10221.4944
Rural,Higher,Bangladesh,"Coffee, Tea and Cocoa",US$,0
Rural,Higher,Bangladesh,"Coffee, Tea and Cocoa",$PPP,0
Rural,Higher,Bangladesh,"Coffee, Tea and Cocoa",Local Currency,0
Rural,Middle,Bangladesh,"Coffee, Tea and Cocoa",US$,0.1229483
Rural,Middle,Bangladesh,"Coffee, Tea and Cocoa",$PPP,0.259358093
Rural,Middle,Bangladesh,"Coffee, Tea and Cocoa",Local Currency,8.563226159
Rural,Lowest,Bangladesh,"Coffee, Tea and Cocoa",US$,57.77923146
Rural,Lowest,Bangladesh,"Coffee, Tea and Cocoa",$PPP,121.8846561
Rural,Lowest,Bangladesh,"Coffee, Tea and Cocoa",Local Currency,4024.265692
Rural,Low,Bangladesh,"Coffee, Tea and Cocoa",US$,16.11841291
Rural,Low,Bangladesh,"Coffee, Tea and Cocoa",$PPP,34.00161554
Rural,Low,Bangladesh,"Coffee, Tea and Cocoa",Local Currency,1122.63134
Rural,All,Bangladesh,"Coffee, Tea and Cocoa",US$,74.02059266
Rural,All,Bangladesh,"Coffee, Tea and Cocoa",$PPP,156.1456298
Rural,All,Bangladesh,"Coffee, Tea and Cocoa",Local Currency,5155.460258
Urban,Higher,Bangladesh,"Coffee, Tea and Cocoa",US$,0.070950319
Urban,Higher,Bangladesh,"Coffee, Tea and Cocoa",$PPP,0.14966892
Urban,Higher,Bangladesh,"Coffee, Tea and Cocoa",Local Currency,4.941618732
Urban,Middle,Bangladesh,"Coffee, Tea and Cocoa",US$,2.814981956
Urban,Middle,Bangladesh,"Coffee, Tea and Cocoa",$PPP,5.938173615
Urban,Middle,Bangladesh,"Coffee, Tea and Cocoa",Local Currency,196.0606782
Urban,Lowest,Bangladesh,"Coffee, Tea and Cocoa",US$,24.25590534
Urban,Lowest,Bangladesh,"Coffee, Tea and Cocoa",$PPP,51.16756674
Urban,Lowest,Bangladesh,"Coffee, Tea and Cocoa",Local Currency,1689.399551
Urban,Low,Bangladesh,"Coffee, Tea and Cocoa",US$,45.59480103
Urban,Low,Bangladesh,"Coffee, Tea and Cocoa",$PPP,96.18173356
Urban,Low,Bangladesh,"Coffee, Tea and Cocoa",Local Currency,3175.632297
Urban,All,Bangladesh,"Coffee, Tea and Cocoa",US$,72.73663861
